Covariates r2 on val: 0.49607048784377394
After epoch 0: Train loss: 16587.20742, Validation loss: 16563.72551, Train r2: 0.51036, Val r2: 0.49648, Epoch time: 13.59s
After epoch 1: Train loss: 16595.10696, Validation loss: 16566.61649, Train r2: 0.51007, Val r2: 0.49629, Epoch time: 12.15s
After epoch 2: Train loss: 16589.60427, Validation loss: 16564.2437, Train r2: 0.50988, Val r2: 0.49645, Epoch time: 11.33s
After epoch 3: Train loss: 16592.42601, Validation loss: 16563.14771, Train r2: 0.50964, Val r2: 0.49652, Epoch time: 11.33s
After epoch 4: Train loss: 16592.00495, Validation loss: 16564.07652, Train r2: 0.50941, Val r2: 0.49644, Epoch time: 11.79s
After epoch 5: Train loss: 16593.87917, Validation loss: 16564.51974, Train r2: 0.50921, Val r2: 0.49641, Epoch time: 11.38s
After epoch 6: Train loss: 16592.80346, Validation loss: 16564.4686, Train r2: 0.50899, Val r2: 0.49642, Epoch time: 11.37s
After epoch 7: Train loss: 16588.86986, Validation loss: 16564.18136, Train r2: 0.50902, Val r2: 0.49643, Epoch time: 11.4s
After epoch 8: Train loss: 16597.15398, Validation loss: 16563.83274, Train r2: 0.50936, Val r2: 0.49645, Epoch time: 11.39s
After epoch 9: Train loss: 16600.23235, Validation loss: 16564.25821, Train r2: 0.50922, Val r2: 0.4964, Epoch time: 11.38s
After epoch 10: Train loss: 16595.85465, Validation loss: 16564.27723, Train r2: 0.50898, Val r2: 0.49639, Epoch time: 11.39s
After epoch 11: Train loss: 16593.88039, Validation loss: 16563.84021, Train r2: 0.50864, Val r2: 0.49641, Epoch time: 11.37s
After epoch 12: Train loss: 16592.18613, Validation loss: 16564.23745, Train r2: 0.50862, Val r2: 0.4964, Epoch time: 11.36s
After epoch 13: Train loss: 16593.92492, Validation loss: 16564.62042, Train r2: 0.50849, Val r2: 0.49638, Epoch time: 11.43s
After epoch 14: Train loss: 16596.53267, Validation loss: 16563.52755, Train r2: 0.50846, Val r2: 0.49645, Epoch time: 11.48s
After epoch 15: Train loss: 16593.48955, Validation loss: 16564.08524, Train r2: 0.50851, Val r2: 0.49641, Epoch time: 11.44s
After epoch 16: Train loss: 16592.23975, Validation loss: 16564.03055, Train r2: 0.50864, Val r2: 0.49642, Epoch time: 12.96s
After epoch 17: Train loss: 16595.51749, Validation loss: 16563.93655, Train r2: 0.50884, Val r2: 0.49643, Epoch time: 12.65s
After epoch 18: Train loss: 16592.44019, Validation loss: 16563.99461, Train r2: 0.50895, Val r2: 0.49644, Epoch time: 11.42s
After epoch 19: Train loss: 16594.64495, Validation loss: 16564.05728, Train r2: 0.50904, Val r2: 0.49643, Epoch time: 11.45s
After epoch 20: Train loss: 16594.09791, Validation loss: 16563.90346, Train r2: 0.50901, Val r2: 0.49644, Epoch time: 11.41s
After epoch 21: Train loss: 16593.35717, Validation loss: 16564.38059, Train r2: 0.50882, Val r2: 0.49641, Epoch time: 11.45s
After epoch 22: Train loss: 16598.16473, Validation loss: 16563.42304, Train r2: 0.50842, Val r2: 0.49645, Epoch time: 11.48s
After epoch 23: Train loss: 16583.35361, Validation loss: 16563.96101, Train r2: 0.50824, Val r2: 0.49644, Epoch time: 12.3s
After epoch 24: Train loss: 16589.94752, Validation loss: 16563.81526, Train r2: 0.5081, Val r2: 0.49644, Epoch time: 11.45s
