Covariates r2 on val: 0.10727522999729733
After epoch 0: Train loss: 21305.60279, Validation loss: 19474.16684, Train r2: 0.11233, Val r2: 0.10748, Epoch time: 12.32s
After epoch 1: Train loss: 21287.5723, Validation loss: 19474.8265, Train r2: 0.11185, Val r2: 0.1074, Epoch time: 11.76s
After epoch 2: Train loss: 21291.27539, Validation loss: 19473.7347, Train r2: 0.11162, Val r2: 0.10753, Epoch time: 11.43s
After epoch 3: Train loss: 21292.23288, Validation loss: 19473.77844, Train r2: 0.11149, Val r2: 0.10749, Epoch time: 10.65s
After epoch 4: Train loss: 21293.27091, Validation loss: 19474.39436, Train r2: 0.11141, Val r2: 0.1074, Epoch time: 11.96s
After epoch 5: Train loss: 21294.1341, Validation loss: 19474.21863, Train r2: 0.11136, Val r2: 0.10741, Epoch time: 12.26s
After epoch 6: Train loss: 21287.23238, Validation loss: 19473.88499, Train r2: 0.11121, Val r2: 0.10745, Epoch time: 11.56s
After epoch 7: Train loss: 21300.79611, Validation loss: 19473.81451, Train r2: 0.11112, Val r2: 0.10748, Epoch time: 11.66s
After epoch 8: Train loss: 21273.81221, Validation loss: 19473.96378, Train r2: 0.11118, Val r2: 0.10747, Epoch time: 10.93s
After epoch 9: Train loss: 21295.26369, Validation loss: 19474.31242, Train r2: 0.11128, Val r2: 0.10742, Epoch time: 11.87s
After epoch 10: Train loss: 21295.95988, Validation loss: 19474.46913, Train r2: 0.11123, Val r2: 0.10741, Epoch time: 11.56s
After epoch 11: Train loss: 21291.07607, Validation loss: 19474.22729, Train r2: 0.11116, Val r2: 0.10744, Epoch time: 11.83s
After epoch 12: Train loss: 21293.53918, Validation loss: 19473.85185, Train r2: 0.11117, Val r2: 0.10748, Epoch time: 11.98s
After epoch 13: Train loss: 21285.1614, Validation loss: 19474.11702, Train r2: 0.11097, Val r2: 0.10744, Epoch time: 10.85s
After epoch 14: Train loss: 21290.48464, Validation loss: 19474.18981, Train r2: 0.11088, Val r2: 0.10743, Epoch time: 11.86s
After epoch 15: Train loss: 21292.43949, Validation loss: 19474.22924, Train r2: 0.11082, Val r2: 0.10743, Epoch time: 11.36s
After epoch 16: Train loss: 21285.47292, Validation loss: 19474.26865, Train r2: 0.11092, Val r2: 0.10744, Epoch time: 11.71s
After epoch 17: Train loss: 21298.93662, Validation loss: 19474.32088, Train r2: 0.11089, Val r2: 0.10741, Epoch time: 10.9s
After epoch 18: Train loss: 21288.19048, Validation loss: 19473.98726, Train r2: 0.11082, Val r2: 0.10748, Epoch time: 11.34s
After epoch 19: Train loss: 21288.67652, Validation loss: 19474.14179, Train r2: 0.1108, Val r2: 0.10746, Epoch time: 11.87s
After epoch 20: Train loss: 21278.15748, Validation loss: 19474.09687, Train r2: 0.11074, Val r2: 0.10747, Epoch time: 11.94s
After epoch 21: Train loss: 21295.95312, Validation loss: 19474.15103, Train r2: 0.11077, Val r2: 0.10749, Epoch time: 11.84s
After epoch 22: Train loss: 21293.27915, Validation loss: 19474.20617, Train r2: 0.11064, Val r2: 0.10746, Epoch time: 11.58s
After epoch 23: Train loss: 21289.9213, Validation loss: 19474.25415, Train r2: 0.1107, Val r2: 0.10744, Epoch time: 11.67s
After epoch 24: Train loss: 21293.25413, Validation loss: 19474.19864, Train r2: 0.11093, Val r2: 0.10745, Epoch time: 11.29s
