Covariates r2 on val: 0.3785392659271266
After epoch 0: Train loss: 18627.68341, Validation loss: 18489.58151, Train r2: 0.38138, Val r2: 0.379, Epoch time: 12.04s
After epoch 1: Train loss: 18623.68689, Validation loss: 18490.89849, Train r2: 0.38145, Val r2: 0.37891, Epoch time: 11.75s
After epoch 2: Train loss: 18621.154, Validation loss: 18490.20838, Train r2: 0.38163, Val r2: 0.37899, Epoch time: 11.71s
After epoch 3: Train loss: 18621.98199, Validation loss: 18490.37599, Train r2: 0.38179, Val r2: 0.379, Epoch time: 11.77s
After epoch 4: Train loss: 18619.42688, Validation loss: 18490.01873, Train r2: 0.38198, Val r2: 0.37907, Epoch time: 11.72s
After epoch 5: Train loss: 18615.96626, Validation loss: 18490.12333, Train r2: 0.38221, Val r2: 0.37915, Epoch time: 11.72s
After epoch 6: Train loss: 18618.5788, Validation loss: 18489.29811, Train r2: 0.38259, Val r2: 0.37943, Epoch time: 11.75s
After epoch 7: Train loss: 18618.36997, Validation loss: 18485.47421, Train r2: 0.38355, Val r2: 0.38018, Epoch time: 11.75s
After epoch 8: Train loss: 18613.98342, Validation loss: 18478.83208, Train r2: 0.38395, Val r2: 0.38046, Epoch time: 11.75s
After epoch 9: Train loss: 18612.40545, Validation loss: 18478.7322, Train r2: 0.38418, Val r2: 0.38058, Epoch time: 11.73s
After epoch 10: Train loss: 18608.35157, Validation loss: 18478.52162, Train r2: 0.38434, Val r2: 0.38065, Epoch time: 11.69s
After epoch 11: Train loss: 18606.43856, Validation loss: 18478.96232, Train r2: 0.38486, Val r2: 0.38078, Epoch time: 11.76s
After epoch 12: Train loss: 18597.66256, Validation loss: 18477.13675, Train r2: 0.38509, Val r2: 0.38102, Epoch time: 11.72s
After epoch 13: Train loss: 18600.73417, Validation loss: 18473.91877, Train r2: 0.38502, Val r2: 0.38109, Epoch time: 11.8s
After epoch 14: Train loss: 18608.63982, Validation loss: 18471.17156, Train r2: 0.38533, Val r2: 0.38115, Epoch time: 11.76s
After epoch 15: Train loss: 18605.13345, Validation loss: 18470.40947, Train r2: 0.38599, Val r2: 0.38141, Epoch time: 11.77s
After epoch 16: Train loss: 18596.76823, Validation loss: 18467.22248, Train r2: 0.38639, Val r2: 0.38189, Epoch time: 11.72s
After epoch 17: Train loss: 18596.9133, Validation loss: 18459.6141, Train r2: 0.38704, Val r2: 0.3821, Epoch time: 11.75s
After epoch 18: Train loss: 18596.68514, Validation loss: 18457.47387, Train r2: 0.38754, Val r2: 0.38222, Epoch time: 11.79s
After epoch 19: Train loss: 18596.99704, Validation loss: 18458.02005, Train r2: 0.38795, Val r2: 0.38224, Epoch time: 11.8s
After epoch 20: Train loss: 18596.6634, Validation loss: 18457.82519, Train r2: 0.38804, Val r2: 0.38224, Epoch time: 11.82s
After epoch 21: Train loss: 18588.8103, Validation loss: 18458.1516, Train r2: 0.38815, Val r2: 0.38228, Epoch time: 11.79s
After epoch 22: Train loss: 18590.69909, Validation loss: 18457.47746, Train r2: 0.38848, Val r2: 0.38239, Epoch time: 11.78s
After epoch 23: Train loss: 18598.4351, Validation loss: 18457.36067, Train r2: 0.38895, Val r2: 0.38255, Epoch time: 11.78s
After epoch 24: Train loss: 18588.22649, Validation loss: 18456.28249, Train r2: 0.3888, Val r2: 0.38269, Epoch time: 11.99s
